Extra options: []
Measured: 10 times

Total Average: 142.265200 msec
Total Max:     145.519000 msec
Total Min:     139.557000 msec

  AVERAGE       MAX       MIN
------------------------------
94.305000 95.750000 92.194000: /Users/naohirokosuda/.config/nvim/init.lua
14.928300 15.658000 14.601000: require('cmp')
13.747600 14.464000 13.410000: require('cmp.core')
13.231300 15.255000 12.290000: require('luasnip.loaders.from_vscode')
11.221200 13.293000 10.352000: require('luasnip.util.parser')
 9.257300 10.000000  8.934000: require('nvim-treesitter.configs')
 8.733800 10.040000  8.085000: require('luasnip')
 8.712300  9.593000  7.476000: loading packages
 8.547000  9.307000  8.312000: require('nvim-treesitter.query')
 6.427700  7.631000  5.861000: require('luasnip.nodes.snippet')
 4.820700  6.441000  3.801000: require('hlchunk.mods.chunk')
 4.691400  5.619000  4.437000: loading rtp plugins
 4.228300  4.721000  3.899000: require('cmp.view')
 4.165700  4.522000  3.975000: require('nvim-treesitter.compat')
 4.141100  4.646000  3.734000: /nix/store/d49211xynragp0nnhx8wnsgsvxvch6bf-packdir-start/pack/myNeovimPackages/start/nvim-cmp/plugin/cmp.lua
 3.896600  4.883000  3.528000: require('luasnip.util.parser.ast_parser')
 3.879700  4.225000  3.700000: require('vim.treesitter')
 3.825900  4.993000  3.325000: /nix/store/d49211xynragp0nnhx8wnsgsvxvch6bf-packdir-start/pack/myNeovimPackages/start/nvim-treesitter/plugin/nvim-treesitter.lua
 3.683100  4.127000  3.386000: require('cmp.utils.highlight')
 3.516900  3.859000  3.327000: require('nvim-treesitter.tsrange')
 3.317400  3.598000  3.155000: require('vim.treesitter.languagetree')
 3.281200  3.594000  2.963000: /nix/store/pjc88dyrc6526sg2x6r4wxa7vm7wjg3z-vim-pack-dir/pack/myNeovimPackages/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
 3.233200  3.316000  3.154000: require('cmp.utils.async')
 3.169300  3.505000  2.905000: sourcing vimrc file(s)
 3.167400  3.466000  2.864000: require('cmp_luasnip')
 3.142800  3.511000  2.984000: require('nvim-treesitter.ts_utils')
 2.944800  3.373000  2.643000: expanding arguments
 2.870900  3.896000  2.506000: require('nvim-treesitter')
 2.843600  3.148000  2.567000: require('vim.lsp.util')
 2.811300  2.908000  2.720000: require('cmp.config')
 2.793800  4.083000  2.542000: require('luasnip.nodes.util.trig_engines')
 2.700900  3.708000  1.340000: require('hlchunk.mods.indent')
 2.509900  3.784000  2.266000: require('luasnip.util.jsregexp')
 2.490200  2.724000  2.392000: require('hlchunk.utils.chunkHelper')
 2.489500  3.049000  2.213000: reading ShaDa
 2.408600  2.654000  2.139000: require('plenary.path')
 2.285800  2.636000  2.133000: require('luasnip.loaders')
 2.237100  2.546000  2.120000: require('cmp.source')
 2.198300  2.551000  2.053000: require('move')
 2.153400  2.486000  1.952000: require('nvim-treesitter.parsers')
 2.126500  2.334000  2.041000: require('hlchunk.utils.ts_node_type')
 2.105800  2.368000  2.000000: require('vim.treesitter.query')
 1.856300  2.039000  1.774000: require('hlchunk.mods.base_mod')
 1.749500  2.090000  1.568000: require('git-conflict')
 1.744800  2.428000  1.547000: require('nvim-treesitter.install')
 1.733300  2.059000  1.613000: require('cmp.entry')
 1.712300  2.190000  1.412000: /nix/store/d49211xynragp0nnhx8wnsgsvxvch6bf-packdir-start/pack/myNeovimPackages/start/luasnip/plugin/luasnip.lua
 1.712000  1.925000  1.597000: require('luasnip.util.util')
 1.611500  2.863000  1.408000: require('jsregexp')
 1.597100  1.812000  1.518000: require('cmp.utils.feedkeys')
 1.540500  1.773000  1.480000: --cmd commands
 1.513200  2.101000  1.355000: require('luasnip.util.parser.ast_utils')
 1.506400  1.852000  1.396000: require('nightfox')
 1.494500  1.560000  1.425000: require('move.commands')
 1.427000  1.937000  1.129000: require('vim.filetype')
 1.425400  1.709000  1.265000: loading after plugins
 1.420500  1.824000  1.179000: require('luasnip.util.environ')
 1.408000  1.445000  1.382000: require('cmp.config.mapping')
 1.290400  1.594000  1.178000: require('cmp.view.docs_view')
 1.288500  1.371000  1.238000: require('cmp.utils.keymap')
 1.276100  1.412000  1.219000: require('lz.n.handler')
 1.258200  1.416000  1.196000: /nix/store/pjc88dyrc6526sg2x6r4wxa7vm7wjg3z-vim-pack-dir/pack/myNeovimPackages/start/nightfox.nvim/colors/nordfox.vim
 1.238300  1.397000  1.155000: require('luasnip.session')
 1.193900  1.455000  0.991000: require('possession.commands')
 1.133900  1.600000  0.944000: /nix/store/pjc88dyrc6526sg2x6r4wxa7vm7wjg3z-vim-pack-dir/pack/myNeovimPackages/start/cmp-buffer/after/plugin/cmp_buffer.lua
 1.101500  1.242000  0.999000: require('dressing')
 1.082800  1.420000  0.883000: require('luasnip.util._builtin_vars')
 1.082800  1.332000  0.959000: require('luasnip.session.snippet_collection')
 1.072100  1.197000  0.930000: require('vim.lsp.protocol')
 1.063000  1.090000  1.043000: require('cmp.types')
 1.050600  1.527000  0.885000: require('cmp_buffer')
 0.996800  1.183000  0.931000: require('luasnip.nodes.util')
 0.993600  1.171000  0.933000: require('luasnip.default_config')
 0.983100  1.238000  0.848000: require('vim._defaults')
 0.980800  1.110000  0.917000: require('nightfox.config')
 0.967900  1.408000  0.806000: require('possession')
 0.950700  1.814000  0.820000: require('jsregexp.core')
 0.879800  1.169000  0.807000: require('cmp.view.custom_entries_view')
 0.879100  1.014000  0.831000: require('lz.n.handler.event')
 0.871600  1.410000  0.747000: require('luasnip.nodes.node')
 0.851700  1.190000  0.739000: require('cmp.utils.window')
 0.849300  1.022000  0.775000: require('dressing.patch')
 0.807600  1.144000  0.701000: require('cmp_buffer.source')
 0.787300  0.909000  0.731000: require('luasnip.loaders.util')
 0.760800  0.844000  0.707000: /nix/store/4cw15fkg714wh95si2jjq1ixm2dxa7ji-neovim-unwrapped-nightly/share/nvim/runtime/syntax/syntax.vim
 0.757100  0.813000  0.728000: require('move.core.vert')
 0.747200  0.892000  0.702000: require('cmp.config.default')
 0.663700  0.899000  0.541000: require('qf_helper')
 0.662700  1.582000  0.530000: /nix/store/pjc88dyrc6526sg2x6r4wxa7vm7wjg3z-vim-pack-dir/pack/myNeovimPackages/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
 0.661300  0.987000  0.611000: require('cmp.utils.str')
 0.654000  0.721000  0.603000: require('vim.iter')
 0.644400  0.784000  0.450000: require('luasnip.nodes.dynamicNode')
 0.640700  0.819000  0.573000: require('vim.ui')
 0.636100  0.774000  0.499000: require('luasnip.loaders.from_lua')
 0.619400  0.672000  0.594000: /nix/store/4cw15fkg714wh95si2jjq1ixm2dxa7ji-neovim-unwrapped-nightly/share/nvim/runtime/filetype.lua
 0.609600  0.849000  0.490000: require('luasnip.loaders.from_snipmate')
 0.604300  1.383000  0.490000: require('cmp_nvim_lsp')
 0.602400  0.693000  0.469000: require('luasnip.nodes.choiceNode')
 0.600700  0.797000  0.509000: require('possession.utils')
 0.597900  0.858000  0.433000: require('luasnip.util.parser.neovim_parser')
 0.591700  0.695000  0.544000: require('cmp.context')
 0.579600  0.633000  0.544000: require('cmp.utils.snippet')
 0.568900  0.680000  0.413000: require('plenary.bit')
 0.556500  0.610000  0.536000: require('hlchunk.mods.base_mod.base_conf')
 0.539000  0.851000  0.433000: require('possession.config')
 0.518300  0.595000  0.476000: require('cmp_buffer.buffer')
 0.510800  0.603000  0.489000: require('luasnip.loaders.fs_watchers')
 0.501200  0.596000  0.463000: locale set
 0.481900  0.580000  0.457000: inits 1
 0.481000  0.513000  0.445000: require('luasnip.util.jsonc')
 0.475900  0.661000  0.436000: init lua interpreter
 0.475000  0.713000  0.423000: require('nvim-treesitter.shell_command_selectors')
 0.468500  0.541000  0.417000: require('luasnip.nodes.insertNode')
 0.467000  0.493000  0.450000: require('luasnip.loaders.snippet_cache')
 0.466500  0.614000  0.438000: require('nvim-treesitter.indent')
 0.465900  0.590000  0.416000: require('nvim-treesitter.utils')
 0.456200  0.597000  0.388000: require('cmp.matcher')
 0.440000  0.674000  0.292000: require('hlchunk.utils.loopTask')
 0.439700  0.494000  0.411000: require('vim.highlight')
 0.436900  0.586000  0.401000: require('cmp.config.compare')
 0.434200  0.661000  0.379000: require('luasnip.util.path')
 0.433200  0.488000  0.309000: require('dressing.config')
 0.425900  0.561000  0.372000: /nix/store/pjc88dyrc6526sg2x6r4wxa7vm7wjg3z-vim-pack-dir/pack/myNeovimPackages/start/cmp-path/after/plugin/cmp_path.lua
 0.424400  0.774000  0.337000: require('qf_helper.config')
 0.420800  0.477000  0.381000: /nix/store/pjc88dyrc6526sg2x6r4wxa7vm7wjg3z-vim-pack-dir/pack/myNeovimPackages/start/cmp-cmdline/after/plugin/cmp_cmdline.lua
 0.420100  0.659000  0.366000: require('nvim-treesitter.query_predicates')
 0.415300  0.524000  0.395000: require('cmp.view.wildmenu_entries_view')
 0.410600  0.555000  0.353000: require('nvim-treesitter.info')
 0.402200  0.420000  0.391000: require('move.utils')
 0.397200  0.530000  0.363000: require('luasnip.util.log')
 0.397000  0.494000  0.369000: require('move.core.horiz')
 0.393800  0.454000  0.376000: require('vim.treesitter.language')
 0.391600  0.650000  0.330000: require('cmp.view.native_entries_view')
 0.390600  0.409000  0.379000: require('vim.treesitter._range')
 0.389100  0.552000  0.342000: require('luasnip.util.directed_graph')
 0.371300  0.488000  0.326000: require('cmp_path')
 0.367400  0.422000  0.320000: require('luasnip.nodes.multiSnippet')
 0.360300  0.415000  0.338000: require('cmp.utils.misc')
 0.358800  0.480000  0.338000: require('cmp.view.ghost_text_view')
 0.358600  0.389000  0.334000: require('cmp_cmdline')
 0.355100  0.444000  0.295000: require('plenary.functional')
 0.353600  0.424000  0.322000: require('luasnip.nodes.functionNode')
 0.349900  0.362000  0.333000: require('cmp.types.lsp')
 0.344500  0.421000  0.313000: require('luasnip.util.mark')
 0.344400  0.365000  0.333000: require('vim.func._memoize')
 0.339500  0.408000  0.327000: require('lz.n.spec')
 0.338900  0.669000  0.294000: require('cmp.utils.char')
 0.335900  0.487000  0.305000: require('hlchunk.utils.indentHelper')
 0.332600  0.361000  0.317000: require('vim.func')
 0.322700  0.502000  0.284000: require('nvim-treesitter.caching')
 0.320800  0.420000  0.284000: require('hlchunk.utils.class')
 0.312800  0.348000  0.293000: require('hlchunk')
 0.312700  0.415000  0.292000: require('move.config')
 0.312300  0.402000  0.293000: require('hlchunk.utils.cFunc')
 0.311200  0.379000  0.284000: require('nightfox.util')
 0.308900  0.375000  0.296000: require('hlchunk.utils.timer')
 0.308800  0.355000  0.291000: require('luasnip.util.parser.neovim_ast')
 0.308800  0.494000  0.245000: opening buffers
 0.305600  0.453000  0.273000: require('nvim-treesitter.statusline')
 0.304700  0.345000  0.291000: require('hlchunk.utils.cache')
 0.304100  0.402000  0.276000: require('hlchunk.mods.chunk.chunk_conf')
 0.303200  0.742000  0.238000: require('cmp_nvim_lsp.source')
 0.302000  0.433000  0.265000: require('luasnip.util.pattern_tokenizer')
 0.301900  0.358000  0.290000: require('lspkind')
 0.300400  0.332000  0.284000: require('luasnip.util.str')
 0.297800  0.321000  0.258000: require('luasnip.nodes.textNode')
 0.296500  0.397000  0.272000: require('lz.n.loader')
 0.294700  0.448000  0.268000: require('hlchunk.mods.indent.indent_conf')
 0.291700  0.338000  0.271000: require('luasnip.config')
 0.290400  0.473000  0.251000: require('cmp.utils.event')
 0.289800  0.338000  0.250000: require('luasnip.util.functions')
 0.288000  0.318000  0.269000: require('cmp.utils.autocmd')
 0.287100  0.488000  0.232000: require('vim._init_packages')
 0.283500  0.323000  0.260000: require('hlchunk.utils.position')
 0.282900  0.291000  0.277000: require('lz.n.handler.keys')
 0.279800  0.377000  0.260000: require('luasnip.util.select')
 0.277700  0.321000  0.257000: require('nightfox.lib.collect')
 0.277500  0.288000  0.271000: require('cmp.utils.api')
 0.276900  0.352000  0.256000: require('hlchunk.utils.ts_node_type.cpp')
 0.273500  0.300000  0.266000: require('hlchunk.utils.filetype')
 0.273200  0.392000  0.238000: require('cmp.utils.options')
 0.270400  0.326000  0.258000: require('hlchunk.utils.ts_node_type.lua')
 0.267200  0.360000  0.249000: require('hlchunk.utils.scope')
 0.267000  0.295000  0.255000: require('luasnip.util.ext_opts')
 0.265600  0.304000  0.243000: require('nightfox.override')
 0.264600  0.337000  0.247000: require('lz.n')
 0.264200  0.318000  0.242000: require('luasnip.nodes.snippetProxy')
 0.262700  0.297000  0.246000: require('cmp.config.sources')
 0.262200  0.281000  0.250000: init highlight
 0.262000  0.308000  0.247000: require('hlchunk.utils.ts_node_type.css')
 0.261800  0.313000  0.249000: require('lz.n.handler.cmd')
 0.260000  0.508000  0.214000: require('luasnip.util.events')
 0.258400  0.297000  0.246000: require('hlchunk.utils.ts_node_type.rust')
 0.257700  0.280000  0.242000: require('cmp.utils.pattern')
 0.257600  0.431000  0.218000: require('git-conflict.colors')
 0.256400  0.282000  0.239000: require('cmp.utils.debug')
 0.255600  0.277000  0.248000: require('hlchunk.utils.ts_node_type.fortran')
 0.251900  0.269000  0.245000: require('hlchunk.utils.ts_node_type.zig')
 0.250500  0.256000  0.245000: require('cmp.utils.cache')
 0.249300  0.304000  0.228000: require('luasnip.util.dict')
 0.249300  0.281000  0.241000: require('hlchunk.utils.ts_node_type.yaml')
 0.246400  0.299000  0.235000: require('cmp.utils.buffer')
 0.245800  0.262000  0.239000: require('cmp.types.cmp')
 0.245200  0.271000  0.235000: require('cmp.config.window')
 0.245000  0.280000  0.236000: require('lz.n.handler.state')
 0.244400  0.311000  0.220000: require('git-conflict.utils')
 0.243700  0.393000  0.210000: require('luasnip.util.auto_table')
 0.242200  0.467000  0.198000: require('luasnip.util.table')
 0.242200  0.300000  0.221000: require('luasnip.util.extend_decorator')
 0.237800  0.299000  0.218000: require('luasnip.loaders.data')
